dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,scaling_low,scaling_high,mixup_alpha,dba_k,dba_max_iter,smote_k_neighbors,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
handmovementdirection,3,pca_cov_state,success,,0.18756284565108094,0.28519219209962543,0.09762934644854449,1280,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.29848660111818004,21,0,,,,,,,1.1148696691926239e-07,10.0,0.6058002710342407
handmovementdirection,3,csta_top1_current,success,,0.1875628456510809,0.3022830090837565,0.1147201634326756,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.3084116541353383,30,0,,,,,,,,,
handmovementdirection,3,csta_group_template_top,success,,0.1875628456510809,0.2937645494265703,0.10620170377548943,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,group_center_top_response,0.3191123188405797,11,0,,,,,,,,,
handwriting,1,no_aug,success,,0.382737297846506,0.382737297846506,0.0,0,0.0,0.0,none,hard,resnet1d,True,False,none,True,none,0.3055555555555555,30,0,,,,,,,,,
handwriting,1,raw_aug_jitter,success,,0.382737297846506,0.5232223368972456,0.1404850390507396,1200,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.38333333333333336,26,0,,,,,,,,,
handwriting,1,raw_aug_scaling,success,,0.382737297846506,0.48571181142814357,0.10297451358163756,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,0.44933333333333336,30,0,0.8,1.2,,,,,,,
handwriting,1,raw_aug_timewarp,success,,0.382737297846506,0.4811126402346147,0.09837534238810869,1200,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,0.44799999999999995,30,0,,,,,,,,,
handwriting,1,raw_mixup,success,,0.382737297846506,0.36154430574386465,-0.02119299210264136,1200,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.3132936507936508,29,0,,,0.4,,,,,,
handwriting,1,dba_sameclass,success,,0.382737297846506,0.39542410406241313,0.01268680621590712,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.292,19,400,,,,5.0,5.0,,,,
handwriting,1,raw_smote_flatten_balanced,success,,0.382737297846506,0.46338367575245,0.08064637790594398,114,0.95,0.95,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.4236111111111111,30,0,,,,,,1.0,,,
handwriting,1,random_cov_state,success,,0.382737297846506,0.4822955299476751,0.0995582321011691,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.4,18,0,,,,,,,0.0003234982522515674,,
handwriting,1,pca_cov_state,success,,0.382737297846506,0.5107466165913952,0.1280093187448892,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.3426666666666667,19,0,,,,,,,0.0003235855563832931,6.0,1.0
handwriting,1,csta_top1_current,success,,0.382737297846506,0.486621859042157,0.10388456119565098,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.3453333333333333,15,0,,,,,,,,,
handwriting,1,csta_group_template_top,success,,0.382737297846506,0.4907991466134473,0.1080618487669413,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,group_center_top_response,0.4306666666666666,19,0,,,,,,,,,
