split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,solve_mode,support_mode,prototype_aggregation,input_norm_mode,mean_trace,condition_number,effective_ridge,weight_norm
train,1,0,-1,26,fixed,pinv,same_only,pooled,none,0.0078125,95511968.0,0.0,1.0234638452529907
train,1,0,-1,27,fixed,pinv,same_only,pooled,none,0.0078125,95509136.0,0.0,1.0234639644622803
train,1,0,-1,28,fixed,pinv,same_only,pooled,none,0.0078125,95511480.0,0.0,1.023463487625122
train,1,0,-1,29,fixed,pinv,same_only,pooled,none,0.0078125,95511040.0,0.0,1.0234639644622803
train,1,0,-1,30,fixed,pinv,same_only,pooled,none,0.007812500931322575,95511208.0,0.0,1.0234639644622803
train,1,0,-1,31,fixed,pinv,same_only,pooled,none,0.0078125,95509312.0,0.0,1.0234639644622803
train,1,0,-1,32,fixed,pinv,same_only,pooled,none,0.0078125,95508232.0,0.0,1.023463249206543
train,1,0,-1,33,fixed,pinv,same_only,pooled,none,0.0078125,95514400.0,0.0,1.0234640836715698
train,1,0,-1,34,fixed,pinv,same_only,pooled,none,0.0078125,95510528.0,0.0,1.0234637260437012
train,1,0,-1,35,fixed,pinv,same_only,pooled,none,0.0078125,95510792.0,0.0,1.0234639644622803
train,1,0,-1,36,fixed,pinv,same_only,pooled,none,0.0078125,95511160.0,0.0,1.0234637260437012
train,1,0,-1,37,fixed,pinv,same_only,pooled,none,0.0078125,95509880.0,0.0,1.0234637260437012
train,1,0,-1,38,fixed,pinv,same_only,pooled,none,0.007812499534338713,95510032.0,0.0,1.0234637260437012
train,1,0,-1,39,fixed,pinv,same_only,pooled,none,0.0078125,95512552.0,0.0,1.0234637260437012
train,1,0,-1,40,fixed,pinv,same_only,pooled,none,0.0078125,95511472.0,0.0,1.0234636068344116
train,1,0,-1,41,fixed,pinv,same_only,pooled,none,0.0078125,95513712.0,0.0,1.0234637260437012
train,1,0,-1,42,fixed,pinv,same_only,pooled,none,0.0078125,95511248.0,0.0,1.0234636068344116
train,1,0,-1,43,fixed,pinv,same_only,pooled,none,0.0078125,95512272.0,0.0,1.0234637260437012
train,1,0,-1,44,fixed,pinv,same_only,pooled,none,0.0078125,95511544.0,0.0,1.0234637260437012
train,1,0,-1,45,fixed,pinv,same_only,pooled,none,0.0078125,95511744.0,0.0,1.023463487625122
train,1,0,-1,46,fixed,pinv,same_only,pooled,none,0.0078125,95514832.0,0.0,1.0234633684158325
train,1,0,-1,47,fixed,pinv,same_only,pooled,none,0.0078125,95511512.0,0.0,1.0234633684158325
train,1,0,-1,48,fixed,pinv,same_only,pooled,none,0.0078125,95510112.0,0.0,1.0234639644622803
train,1,0,-1,49,fixed,pinv,same_only,pooled,none,0.0078125,95515512.0,0.0,1.0234640836715698
train,1,0,-1,50,fixed,pinv,same_only,pooled,none,0.0078125,95513064.0,0.0,1.0234637260437012
train,1,0,-1,51,fixed,pinv,same_only,pooled,none,0.0078125,95512648.0,0.0,1.0234637260437012
train,1,0,-1,52,fixed,pinv,same_only,pooled,none,0.0078125,95513232.0,0.0,1.0234636068344116
train,1,0,-1,53,fixed,pinv,same_only,pooled,none,0.0078125,95510280.0,0.0,1.0234636068344116
train,1,0,-1,54,fixed,pinv,same_only,pooled,none,0.0078125,95513208.0,0.0,1.0234637260437012
train,1,0,-1,55,fixed,pinv,same_only,pooled,none,0.0078125,95515688.0,0.0,1.0234636068344116
train,1,0,-1,56,fixed,pinv,same_only,pooled,none,0.0078125,95513104.0,0.0,1.023463487625122
train,1,0,-1,57,fixed,pinv,same_only,pooled,none,0.0078125,95506944.0,0.0,1.0234638452529907
train,1,0,-1,58,fixed,pinv,same_only,pooled,none,0.0078125,95511128.0,0.0,1.0234638452529907
