anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
15,handwriting_train_85,0.5,mid,7,1.0,0.1,0.05,0.499999999995,2,-1.0,0.05,0.025,0.49999999999,0.4999999999925,24,5.117754406518631e-05,0.00015775206312002523,0.0008315897566548953,0.00015453587288117757,0.00044138365036004083
15,handwriting_train_85,0.9,edge,7,1.0,0.1,0.09000000000000001,0.899999999991,2,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,24,5.1228936205557005e-05,0.00015969894851416492,0.0008311815237511654,0.00015353861345147676,0.00044120522997836124
16,handwriting_train_50,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,4,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,8.104315645155927e-05,0.00015718379900877698,0.0005445379604327326,0.00015490015355752084,0.0003127905584421459
16,handwriting_train_50,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,4,-1.0,0.05,0.025,0.49999999999,0.4999999999925,5,8.102072537333603e-05,0.00015863811000400052,0.0005440101323737631,0.00015393420603740778,0.0003125154288735496
16,handwriting_train_50,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,4,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,8.097795289456024e-05,0.0001613013652080603,0.0005431500417795825,0.00015242660241387597,0.00031206399733707134
17,handwriting_train_17,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,6,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,24,6.232798696560324e-05,0.00015718574089729196,0.000874633068384169,0.00015488689654601925,0.0004684805276748861
17,handwriting_train_17,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,6,-1.0,0.05,0.025,0.49999999999,0.4999999999925,24,6.233696493136115e-05,0.00015864597944261714,0.0008727321255452997,0.00015391203719927505,0.0004675345452383304
17,handwriting_train_17,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,6,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,24,6.234287651750858e-05,0.00016132747638045197,0.0008696376884778943,0.00015239871547809004,0.00046599028249770145
18,handwriting_train_108,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,4,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,14,9.329459251813286e-05,0.00015718723318327703,0.0024220014512707656,0.00015489954971956325,0.0012576480218944492
18,handwriting_train_108,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,4,-1.0,0.05,0.025,0.49999999999,0.4999999999925,14,9.358853765732074e-05,0.00015865216196340602,0.002420688949485929,0.00015393162490796514,0.001257138743571625
18,handwriting_train_108,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,4,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,14,9.403558063599941e-05,0.00016134860915543629,0.0024185535326946817,0.00015241809344091492,0.0012562945566653406
19,handwriting_train_134,0.25,small,2,1.0,0.1,0.025,0.2499999999975,9,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,7.405052173398856e-05,0.00015730836575997547,0.00045712760187462896,0.0001549273031415959,0.00026558906180430874
19,handwriting_train_134,0.5,mid,2,1.0,0.1,0.05,0.499999999995,9,-1.0,0.05,0.025,0.49999999999,0.4999999999925,5,7.417172113593919e-05,0.00015887737796970038,0.0004565960180816198,0.0001539953379777829,0.00026538386960877947
