dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,diffusionts_max_epochs,target_aug_ratio,timevqvae_vqvae_epochs,timevqvae_maskgit_epochs
racketsports,1,timevqvae_classwise,success,,0.8656212251404092,0.7869963369963371,-0.078624888144072,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.9686274509803922,12,0,0,61.87163239798974,,,,,10.0,200.0,200.0
racketsports,2,timevqvae_classwise,success,,0.8588293650793651,0.7892610427591771,-0.069568322320188,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,0.9392857142857144,18,0,0,49.03531374305021,,,,,10.0,200.0,200.0
racketsports,3,timevqvae_classwise,success,,0.8843719087962982,0.8278804347826088,-0.0564914740136894,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,TimeVQVAE,True,classwise_timevqvae_maskgit,1.0,30,0,0,43.40627495595254,,,,,10.0,200.0,200.0
atrialfibrillation,1,diffusionts_classwise,success,,0.2164502164502164,0.1558441558441558,-0.0606060606060606,120,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.5555555555555555,30,0,0,31.267165124998428,,,,200.0,10.0,,
atrialfibrillation,2,diffusionts_classwise,success,,0.3205128205128205,0.2433862433862433,-0.0771265771265771,120,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.2222222222222222,13,0,0,30.45218449900858,,,,200.0,10.0,,
atrialfibrillation,3,diffusionts_classwise,success,,0.1666666666666666,0.2055555555555555,0.0388888888888889,120,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,1.0,30,0,0,30.81475795910228,,,,200.0,10.0,,
ering,1,diffusionts_classwise,success,,0.5424850558740912,0.7565422248358799,0.2140571689617886,240,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,1.0,30,0,0,19.616629933938384,,,,200.0,10.0,,
ering,2,diffusionts_classwise,success,,0.848105426301868,0.6803715934150717,-0.1677338328867963,240,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,1.0,30,0,0,20.339522556052543,,,,200.0,10.0,,
ering,3,diffusionts_classwise,success,,0.8501737413578302,0.7063539474958681,-0.1438197938619621,240,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.7777777777777777,30,0,0,18.321285636979155,,,,200.0,10.0,,
handwriting,1,diffusionts_classwise,success,,0.382737297846506,0.4045779745461137,0.0218406766996077,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.2135238095238095,30,0,0,49.038323592045344,,,,200.0,10.0,,
handwriting,2,diffusionts_classwise,success,,0.4136709560472157,0.343188659578025,-0.0704822964691906,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.3249999999999999,30,0,0,53.07587376993615,,,,200.0,10.0,,
handwriting,3,diffusionts_classwise,success,,0.4038917991696072,0.362523441916449,-0.0413683572531582,1200,10.0,10.0,generative_model,hard,resnet1d,True,True,Diffusion-TS,True,classwise_diffusionts_classifier_guidance,0.2586666666666666,28,0,0,51.52859338000417,,,,200.0,10.0,,
